------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0    0    0    0    20.00195663    4.5    1
2.040740159    0    0    0    18.56380238    4.507350215    2
4.081480319    0    0    0    17.15875083    4.515305026    2
6.122220478    0    0    0    15.82726081    4.524603385    3
8.162960637    0    0    0    14.57392217    4.535108047    3
10.2037008    0    0    0    13.36834269    4.546349895    4
12.24444096    0    0    0    12.29790924    4.560105356    5
14.28518112    0    0    0    11.26155275    4.574708652    5
16.32592127    0    0    0    10.30083273    4.591391394    6
18.36666143    0    0    0    9.365470025    4.609545127    6
20.40740159    0    0    0    8.450710149    4.628894041    7
22.44814175    0    0    0    7.645379374    4.657711045    8
24.48888191    0    0    0    6.893751983    4.68780015    8
26.52962207    0    0    0    6.315859285    4.71672385    9
28.57036223    0    0    0    5.853092822    4.734143961    9
30.61110239    0    0    0    5.513675897    4.739238798    10
32.65184255    0    0    0    5.256581369    4.704692623    10
34.69258271    0    0    0    5.025342347    4.656107857    11
36.73332287    0    0    0    4.832064178    4.575478457    12
38.77406303    0    0    0    4.633705915    4.485175073    12
40.81480319    0    0    0    4.428150853    4.381166877    13
42.85554335    0    0    0    4.180983659    4.236135996    13
44.89628351    0    0    0    3.916638567    4.076151244    14
46.93702367    0    0    0    3.615175073    3.935033441    15
48.97776382    0    0    0    3.308313525    3.795069704    15
51.01850398    0    0    0    2.991195674    3.657298692    16
53.05924414    0    0    0    2.676769079    3.521296391    16
55.0999843    0    0    0    2.363758934    3.386224992    17
57.14072446    0    0    0    2.074161713    3.253242378    18
59.18146462    0    0    0    1.793880152    3.120783234    18
61.22220478    0    0    0    1.535857238    2.989502376    19
63.26294494    0    0    0    1.281188611    2.858861027    19
65.3036851    0    0    0    1.028887715    2.728671096    20
67.34442526    0    0    0    0.7563387031    2.598978483    21
69.38516542    0    0    0    0.4693666032    2.469347073    21
71.42590558    0    0    0    0.1360618986    2.339730313    22
73.46664574    0    0    0    -0.2824437443    2.209845747    22
75.5073859    0    0    0    -0.7804702628    2.079711229    23
77.54812606    0    0    0    -1.334624348    1.948704446    23
79.58886621    0    0    0    -1.887762363    1.817386554    24
81.62960637    0    0    0    -2.361467179    1.685259986    25
83.67034653    0    0    0    -2.723904615    1.553201136    25
85.71108669    0    0    0    -2.949397584    1.421225633    26
87.75182685    0    0    0    -3.071137994    1.289380008    26
89.79256701    0    0    0    -3.158488482    1.157586332    27
91.83330717    0    0    0    -3.227239428    1.025936075    28
93.87404733    0    0    0    -3.286766484    0.8943377384    28
95.91478749    0    0    0    -3.331199899    0.7628243631    29
97.95552765    0    0    0    -3.355869329    0.6313935541    29
99.99626781    0    0    0    -3.371644967    0.4999999    30

